temp,feels_like,temp_min,temp_max,pressure,humidity,sea_level,grnd_level,wind_speed,date,time,datetime,humidity_normalized,pressure_normalized,temp_status,feels_like_status,pressure_status,wind_status
9.85,6.84,9.12,10.59,1012,82,1012,1008,6.69,2024-12-02,11:30,2024-12-02 11:30:00,0.5806451612903226,0.5333333333333333,Cold,Feels similar,Low pressure,Moderate wind
6.78,0.84,5.63,7.83,989,85,989,984,15.43,2024-12-07,09:31,2024-12-07 09:31:00,0.6774193548387096,0.022222222222222223,Cold,Feels much colder,Low pressure,High wind
7.69,4.07,7.18,8.38,1028,84,1028,1024,6.69,2024-12-09,02:31,2024-12-09 02:31:00,0.6451612903225806,0.8888888888888888,Cold,Feels similar,High pressure,Moderate wind
6.47,2.34,5.54,7.27,1032,84,1032,1027,7.2,2024-12-10,01:31,2024-12-10 01:31:00,0.6451612903225806,0.9777777777777777,Cold,Feels much colder,High pressure,Moderate wind
12.3,11.96,11.63,13.0,1012,91,1012,1008,4.12,2024-12-01,20:30,2024-12-01 20:30:00,0.8709677419354839,0.5333333333333333,Warm,Feels similar,Low pressure,Low wind
7.13,5.63,6.49,8.0,1024,81,1024,1020,2.24,2024-11-29,19:30,2024-11-29 19:30:00,0.5483870967741935,0.8,Cold,Feels similar,High pressure,Low wind
0.2,-1.59,-1.29,1.67,1026,95,1026,1022,1.54,2024-11-28,06:29,2024-11-28 06:29:00,1.0,0.8444444444444444,Cold,Feels similar,High pressure,Low wind
6.88,3.41,6.09,7.87,1015,75,1015,1011,5.66,2024-12-06,05:31,2024-12-06 05:31:00,0.3548387096774194,0.6,Cold,Feels similar,Low pressure,Moderate wind
10.12,9.49,9.18,10.94,1011,88,1011,1007,6.17,2024-12-02,05:30,2024-12-02 05:30:00,0.7741935483870968,0.5111111111111111,Warm,Feels similar,Low pressure,Moderate wind
17.07,16.71,15.67,17.81,996,72,996,991,13.38,2024-11-24,12:29,2024-11-24 12:29:00,0.25806451612903225,0.17777777777777778,Warm,Feels similar,Low pressure,High wind
